"date","releaseType","estimate_kgh","actual_kgh","technology"
2022-09-27 20:00:00,"4.8mStack",15,10,"qogiC"
2022-09-27 20:00:00,"4.8mStack",0.2,0,"qogiC"
2022-09-27 20:00:00,"4.8mStack",7.3,2.5,"qogiC"
2022-09-27 20:00:00,"4.8mStack",6.9,5,"qogiC"
2022-09-27 20:00:00,"4.8mStack",30,49.7058823529412,"qogiC"
2022-09-27 20:00:00,"3.4mStack",34,35.2941176470588,"qogiC"
2022-09-27 20:00:00,"3.4mStack",9.3,10,"qogiC"
2022-09-27 20:00:00,"3.4mStack",0,0,"qogiC"
2022-09-27 20:00:00,"3.4mStack",2.5,2.5,"qogiC"
2022-09-27 20:00:00,"3.4mStack",4.7,5,"qogiC"
2022-09-27 20:00:00,"3.4mStack",31,49.7058823529412,"qogiC"
2022-09-27 20:00:00,"ShedTaped",5.6,2.5,"qogiC"
2022-09-27 20:00:00,"ShedTaped",9.2,1.5,"qogiC"
2022-09-27 20:00:00,"ShedTaped",8,5,"qogiC"
2022-09-27 20:00:00,"ShedTaped",0.07,0,"qogiC"
2022-09-27 20:00:00,"ShedTaped",4,10,"qogiC"
2022-09-27 20:00:00,"ShedTaped",1,0.25,"qogiC"
2022-09-27 20:00:00,"ShedUntaped",4.4,10,"qogiC"
2022-09-27 20:00:00,"ShedUntaped",6.5,5,"qogiC"
2022-09-27 20:00:00,"ShedUntaped",6.9,1.5,"qogiC"
2022-09-27 20:00:00,"ShedUntaped",11,2.5,"qogiC"
2022-09-29 20:00:00,"TallFlare",5.7,10,"qogiC"
2022-09-29 20:00:00,"TallFlare",8.9,20.8823529411765,"qogiC"
2022-09-29 20:00:00,"TallFlare",17,35.2941176470588,"qogiC"
2022-09-29 20:00:00,"TallFlare",21,49.7058823529412,"qogiC"
2022-09-29 20:00:00,"TallFlare",31,80,"qogiC"
2022-09-29 20:00:00,"TallFlare",21,35.2941176470588,"qogiC"
2022-09-29 20:00:00,"1.7mStack",5.4,5,"qogiC"
2022-09-29 20:00:00,"1.7mStack",23,49.7058823529412,"qogiC"
2022-09-29 20:00:00,"1.7mStack",8.4,10,"qogiC"
2022-09-29 20:00:00,"1.7mStack",0,0.25,"qogiC"
2022-09-29 20:00:00,"1.7mStack",0,0,"qogiC"
2022-09-29 20:00:00,"1.7mStack",17,35.2941176470588,"qogiC"
2022-09-29 20:00:00,"1.7mStack",4.2,2.5,"qogiC"
2022-09-29 20:00:00,"1.7mStack",1.6,1.5,"qogiC"
2022-09-29 20:00:00,"TallFlare",0,0.25,"qogiC"
2022-09-29 20:00:00,"TallFlare",2.8,2.5,"qogiC"
2022-09-29 20:00:00,"TallFlare",4.9,1.5,"qogiC"
2022-09-29 20:00:00,"1.7mStack",1,1.5,"qogiC"
2022-09-29 20:00:00,"1.7mStack",9.7,20.8823529411765,"qogiC"
2022-09-29 20:00:00,"1.7mStack",32,80,"qogiC"
2022-09-25 20:00:00,"TallFlare",4.454,49.7058823529412,"qogiB"
2022-09-25 20:00:00,"TallFlare",23.9675,20.8823529411765,"qogiB"
2022-09-25 20:00:00,"TallFlare",13.6823,35.2941176470588,"qogiB"
2022-09-25 20:00:00,"TallFlare",7.7905,39.7058823529412,"qogiB"
2022-09-25 20:00:00,"TallFlare",5.042,10,"qogiB"
2022-09-25 20:00:00,"4.8mStack",2.7045,5,"qogiB"
2022-09-25 20:00:00,"4.8mStack",27.36,49.7058823529412,"qogiB"
2022-09-25 20:00:00,"4.8mStack",3.1825,20.8823529411765,"qogiB"
2022-09-25 20:00:00,"4.8mStack",1.7125,35.2941176470588,"qogiB"
2022-09-25 20:00:00,"4.8mStack",6.8705,39.7058823529412,"qogiB"
2022-09-25 20:00:00,"4.8mStack",3.131,10,"qogiB"
2022-09-25 20:00:00,"4.8mStack",0.226,0,"qogiB"
2022-09-25 20:00:00,"4.8mStack",0.324,0.25,"qogiB"
2022-09-25 20:00:00,"4.8mStack",0.5745,2.5,"qogiB"
2022-09-25 20:00:00,"4.8mStack",0.274,1.5,"qogiB"
2022-09-26 20:00:00,"GreenTankIntoWind",0.77673,5,"qogiB"
2022-09-26 20:00:00,"GreenTankIntoWind",2.4412,2.5,"qogiB"
2022-09-26 20:00:00,"GreenTankIntoWind",1.1594,0,"qogiB"
2022-09-26 20:00:00,"GreenTankIntoWind",0.90872,10,"qogiB"
2022-09-26 20:00:00,"GreenTankIntoWind",0.48632,0.25,"qogiB"
2022-09-26 20:00:00,"GreenTankIntoWind",0.5133,1.5,"qogiB"
2022-09-26 20:00:00,"GreenTankIntoWind",0.35905,1,"qogiB"
2022-09-26 20:00:00,"GreenTankAwayWind",0.33855,1,"qogiB"
2022-09-26 20:00:00,"GreenTankAwayWind",0.15915,1.5,"qogiB"
2022-09-26 20:00:00,"GreenTankAwayWind",0.29684,0.25,"qogiB"
2022-09-26 20:00:00,"GreenTankAwayWind",2.2766,10,"qogiB"
2022-09-26 20:00:00,"GreenTankAwayWind",0,0,"qogiB"
2022-09-26 20:00:00,"GreenTankAwayWind",0.25202,2.5,"qogiB"
2022-09-26 20:00:00,"GreenTankAwayWind",2.1306,5,"qogiB"
2022-09-26 20:00:00,"1.7mStack",5.1556,49.7058823529412,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.793,1,"qogiB"
2022-09-26 20:00:00,"1.7mStack",8.302,20.8823529411765,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.16666,0.25,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.11444,0,"qogiB"
2022-09-26 20:00:00,"1.7mStack",9.3259,35.2941176470588,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.96448,1.5,"qogiB"
2022-09-26 20:00:00,"1.7mStack",22.781,5,"qogiB"
2022-09-26 20:00:00,"1.7mStack",1.1692,2.5,"qogiB"
2022-09-26 20:00:00,"1.7mStack",17.533,10,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.24963,39.7058823529412,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.46928,1.5,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.17439,0.25,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0,0,"qogiB"
